Current Reserves,Current Demand,Current Capacity,Time Stamp
"5,023 MW","55,248 MW","67,376 MW",2021-07-16 10:38:48
"5,023 MW","55,248 MW","67,376 MW",2021-07-16 10:38:58
"5,020 MW","55,248 MW","67,376 MW",2021-07-16 10:39:08
"5,019 MW","55,248 MW","67,376 MW",2021-07-16 10:39:18
"4,991 MW","55,248 MW","67,376 MW",2021-07-16 10:39:28
"5,007 MW","55,248 MW","67,376 MW",2021-07-16 10:39:38
